"year","doy","hour","temp","rh","windspeed","precip","solardiff","solar"
2013,1,0,16.76,0.8919,1.61,0,0,0
2013,1,1,16.89,0.8881,1.57,0,0,0
2013,1,2,16.84,0.8938,1.57,0,0,0
2013,1,3,16.66,0.9062,1.65,0,0,0
2013,1,4,16.45,0.9206,1.79,0,0,0
2013,1,5,16.26,0.9344,1.96,0,0,0
2013,1,6,16.16,0.9419,2.04,0,0,0
2013,1,7,16.73,0.9131,1.98,0,53.8475,53.8475
2013,1,8,19.68,0.7919,2.54,0,25.7469586276678,344.335
2013,1,9,21.51,0.7019,3.07,0,40.1731109685565,679.49
2013,1,10,22.67,0.6531,3.36,0,54.9895960990755,993.7775
2013,1,11,23.41,0.6319,3.38,0,64.1407752371774,1189.3625
2013,1,12,23.99,0.6138,3.32,0,64.5845861586742,1206.15
2013,1,13,24.37,0.6006,3.22,0,58.8734034537424,1114.35
2013,1,14,24.48,0.595,3.05,0,44.2005949393135,820.0375
2013,1,15,24.25,0.6,2.81,0,34.8977813749673,616.4625
2013,1,16,23.36,0.6631,2,0,19.1531741483143,291.465
2013,1,17,20.82,0.7606,1.53,0,13.1669332639297,27.115
2013,1,18,19.68,0.7925,1.66,0,0,0
2013,1,19,19.12,0.8262,1.71,0,0,0
2013,1,20,18.62,0.8575,1.67,0,0,0
2013,1,21,18.42,0.875,1.59,0,0,0
2013,1,22,18.25,0.8862,1.6,0,0,0
2013,1,23,17.69,0.9081,1.77,0,0,0
2013,2,0,17.14,0.9338,1.8,0,0,0
2013,2,1,16.79,0.9519,1.75,0,0,0
2013,2,2,16.56,0.9612,1.65,0,0,0
2013,2,3,16.33,0.9712,1.57,0,0,0
2013,2,4,16.07,0.9856,1.49,0,0,0
2013,2,5,15.84,1,1.38,0,0,0
2013,2,6,15.76,1,1.25,0,0,0
2013,2,7,16.08,0.9769,1.09,0,3.97218616902096,51.85
2013,2,8,17.88,0.8988,1.38,0,21.1560026530166,369.665
2013,2,9,19.75,0.82,1.53,0,37.0960884775436,694.875
2013,2,10,22.73,0.6712,1.61,0,45.38536726063,874.5225
2013,2,11,23.9,0.6275,1.71,0,39.3268635105849,767.3375
2013,2,12,24.46,0.6131,1.79,0,42.4608084812316,831.5125
2013,2,13,24.81,0.6044,1.84,0,49.4009008263675,963.9
2013,2,14,24.95,0.6006,1.82,0,41.4835975816654,799.34
2013,2,15,24.83,0.6056,1.67,0,31.7755791515595,595.2125
2013,2,16,24.23,0.6506,1.14,0,17.8967426443891,312.715
2013,2,17,22.83,0.6988,0.81,0,2.28563499233829,29.835
2013,2,18,22.43,0.675,0.7,0,0,0
2013,2,19,22.2,0.6781,0.62,0,0,0
2013,2,20,21.37,0.7175,0.7,0,0,0
2013,2,21,20.31,0.7781,0.92,0,0,0
2013,2,22,19.35,0.8281,1.2,0,0,0
2013,2,23,18.49,0.8556,1.57,0,0,0
2013,3,0,17.77,0.8956,1.71,0,0,0
2013,3,1,17.21,0.9256,1.8,0,0,0
2013,3,2,16.74,0.9481,1.84,0,0,0
2013,3,3,16.37,0.9644,1.85,0,0,0
2013,3,4,16.11,0.9756,1.79,0,0,0
2013,3,5,15.95,0.9838,1.61,0,0,0
2013,3,6,16.12,0.9712,1.35,0,0,0
2013,3,7,16.82,0.9312,0.9,0,47.26,47.26
2013,3,8,18.44,0.8669,0.67,0,25.5386126900974,357.085
2013,3,9,20.37,0.7994,1.03,0,42.9886398643679,737.29
2013,3,10,23.32,0.7044,2.13,0,52.9869154735279,965.4725
2013,3,11,24.58,0.665,2.4,0,60.8689989746051,1135.8975
2013,3,12,25.29,0.6406,2.45,0,62.7461081267827,1178.7375
2013,3,13,25.72,0.6262,2.47,0,61.957612792462,1156.2125
2013,3,14,25.93,0.6212,2.36,0,51.6177505581359,940.525
2013,3,15,25.84,0.6281,2,0,37.670815265052,646.085
2013,3,16,25.41,0.6725,1.21,0,22.5446191766785,315.2225
2013,3,17,24.4,0.7069,0.68,0,28.2625,28.2625
2013,3,18,23.99,0.7081,0.45,0,0,0
2013,3,19,23.23,0.7525,0.43,0,0,0
2013,3,20,22.19,0.8231,0.47,0,0,0
2013,3,21,21.46,0.8819,0.45,0,0,0
2013,3,22,20.94,0.9225,0.38,0,0,0
2013,3,23,20.48,0.9506,0.36,0.01,0,0
2013,4,0,20.15,0.9656,0.44,0.01,0,0
2013,4,1,19.9,0.9756,0.47,0.01,0,0
2013,4,2,19.55,0.9931,0.63,0.01,0,0
2013,4,3,19.15,1,0.89,0.01,0,0
2013,4,4,18.76,1,1.21,0.01,0,0
2013,4,5,18.43,1,1.6,0.01,0,0
2013,4,6,18.31,1,1.96,0.01,0,0
2013,4,7,18.67,0.9819,2.35,0.01,46.665,46.665
2013,4,8,19.98,0.9188,2.91,0.01,19.9041507838089,268.4725
2013,4,9,21.5,0.8556,2.31,0.01,30.412418288153,515.6525
2013,4,10,22.94,0.8012,1.4,0.01,43.9349882228721,795.09
2013,4,11,24.26,0.7462,0.87,0,49.7114341483891,922.76
2013,4,12,24.99,0.7106,1.16,0,47.3644498885572,885.4025
2013,4,13,25.11,0.7031,1.43,0,56.0558696690775,1040.5275
2013,4,14,25.02,0.7062,1.53,0,45.8489830593934,829.7275
2013,4,15,24.68,0.7244,1.59,0,34.3402398868949,582.25
2013,4,16,24,0.76,1.66,0,20.6446091397049,278.46
2013,4,17,22.46,0.8444,1.42,0,30.09,30.09
2013,4,18,21.55,0.88,2.19,0,0,0
2013,4,19,20.96,0.9219,2.7,0,0,0
2013,4,20,20.35,0.9594,2.72,0,0,0
2013,4,21,19.95,0.9712,2.62,0,0,0
2013,4,22,19.64,0.9706,2.58,0,0,0
2013,4,23,19.35,0.9675,2.73,0,0,0
2013,5,0,19.09,0.9638,2.94,0,0,0
2013,5,1,18.83,0.9606,3.12,0,0,0
2013,5,2,18.64,0.9575,3.32,0,0,0
2013,5,3,18.51,0.9569,3.47,0,0,0
2013,5,4,18.43,0.9588,3.58,0,0,0
2013,5,5,18.44,0.9619,3.6,0,0,0
2013,5,6,18.48,0.9662,3.62,0,0,0
2013,5,7,18.84,0.9562,3.71,0.04,2.65905101892398,34.85
2013,5,8,20.14,0.9106,3.99,0.05,11.5835956396922,202.5975
2013,5,9,21.76,0.8488,4.01,0.04,22.064670937979,413.525
2013,5,10,23.29,0.795,3.68,0.06,27.9128684353541,538.05
2013,5,11,24.13,0.7725,3.11,0.14,38.9006529082286,759.2625
2013,5,12,24.66,0.7544,2.73,0.12,34.268656186589,671.2875
2013,5,13,24.87,0.7475,2.55,0.14,32.7492762238879,639.2
2013,5,14,24.74,0.7594,2.58,0.09,28.1840598111478,543.2775
2013,5,15,24.25,0.79,2.7,0.07,22.5454222472134,422.535
2013,5,16,23.58,0.8262,2.78,0.06,14.9928225502204,262.225
2013,5,17,22.43,0.8869,2.49,0.07,2.37693219130644,31.1525
2013,5,18,21.69,0.9219,2.7,0.1,0,0
2013,5,19,21.35,0.9394,2.61,0.13,0,0
2013,5,20,21.12,0.9481,2.33,0.13,0,0
2013,5,21,20.89,0.9544,2.07,0.08,0,0
2013,5,22,20.69,0.96,1.86,0.04,0,0
2013,5,23,20.48,0.9681,1.71,0.01,0,0
2013,6,0,20.07,0.9812,1.66,0,0,0
2013,6,1,19.71,0.9938,1.62,0,0,0
2013,6,2,19.56,0.9962,1.56,0.01,0,0
2013,6,3,19.59,0.9912,1.45,0.01,0,0
2013,6,4,19.59,0.9881,1.35,0.01,0,0
2013,6,5,19.52,0.9862,1.31,0.01,0,0
2013,6,6,19.49,0.9838,1.29,0.01,0,0
2013,6,7,19.83,0.97,1.21,0.02,2.62910011866813,34.51
2013,6,8,21.87,0.9231,1.51,0.05,16.8772184951167,295.29
2013,6,9,23.24,0.8619,1.8,0.07,33.8205584693639,633.9725
2013,6,10,24.58,0.7762,2.06,0.12,44.6602552919331,821.865
2013,6,11,25.55,0.7081,2.26,0.2,54.1502901148503,1018.385
2013,6,12,26.04,0.6794,2.43,0.31,55.6547663267043,1058.8875
2013,6,13,26.19,0.67,2.57,0.53,54.2912117654115,1027.0975
2013,6,14,26.11,0.675,2.56,0.53,48.8549248962824,908.0125
2013,6,15,25.52,0.7175,2.22,0.49,36.3914468159842,644.725
2013,6,16,24.73,0.7831,1.69,0.54,22.5484980348469,317.7725
2013,6,17,23.31,0.8512,1.23,0.54,35.615,35.615
2013,6,18,22.66,0.8788,1.2,0.55,0,0
2013,6,19,22.33,0.8981,1.17,0.52,0,0
2013,6,20,22.16,0.8925,1.22,0.52,0,0
2013,6,21,21.98,0.89,1.06,0.45,0,0
2013,6,22,21.76,0.8912,0.85,0.42,0,0
2013,6,23,21.4,0.9044,0.78,0.33,0,0
2013,7,0,20.91,0.9219,0.85,0.3,0,0
2013,7,1,20.46,0.9362,1.06,0.29,0,0
2013,7,2,20.12,0.9438,1.42,0.22,0,0
2013,7,3,19.84,0.9519,1.94,0.18,0,0
2013,7,4,19.72,0.96,2.63,0.08,0,0
2013,7,5,19.73,0.9625,3.25,0.05,0,0
2013,7,6,19.73,0.9619,3.78,0.08,0,0
2013,7,7,19.64,0.9575,4.27,0.13,38.2499999999723,38.25
2013,7,8,19.71,0.9388,4.84,0.12,13.456180816402,190.1875
2013,7,9,20.37,0.9038,5.01,0.13,24.9146399690392,428.74
2013,7,10,21.62,0.8594,4.98,0.15,34.6866294440329,633.25
2013,7,11,22.77,0.8175,4.85,0.16,41.019450995361,766.615
2013,7,12,23.4,0.7962,4.9,0.16,44.2858461691289,833.085
2013,7,13,23.58,0.79,5.1,0.1,38.6817197821871,722.925
2013,7,14,23.35,0.7944,5.37,0.06,37.2706669395279,680.425
2013,7,15,22.82,0.8131,5.63,0.05,22.6647156022872,390.0225
2013,7,16,22.13,0.845,5.56,0.03,13.9463165645748,197.115
2013,7,17,21.32,0.89,4.9,0.02,24.4375,24.4375
2013,7,18,20.87,0.9231,4.63,0.02,0,0
2013,7,19,20.84,0.925,4.66,0.04,0,0
2013,7,20,21,0.9194,4.58,0.06,0,0
2013,7,21,21.09,0.9238,4.23,0.1,0,0
2013,7,22,21.1,0.9338,3.78,0.15,0,0
2013,7,23,20.98,0.9475,3.12,0.18,0,0
2013,8,0,20.76,0.9594,2.61,0.19,0,0
2013,8,1,20.62,0.9619,2.44,0.14,0,0
2013,8,2,20.46,0.9656,2.23,0.1,0,0
2013,8,3,20.31,0.9706,2.16,0.06,0,0
2013,8,4,20.22,0.975,2.18,0.05,0,0
2013,8,5,20.16,0.9762,2.22,0.08,0,0
2013,8,6,20.07,0.9762,2.15,0.1,0,0
2013,8,7,20.5,0.9681,1.98,0.08,32.215,32.215
2013,8,8,22.39,0.9294,2.5,0.13,18.3203715080977,250.5375
2013,8,9,23.62,0.8681,2.49,0.17,29.8211535900266,507.6625
2013,8,10,24.81,0.7944,2.43,0.17,44.4723569366351,806.65
2013,8,11,25.64,0.7412,2.38,0.22,56.5990922699265,1073.3375
2013,8,12,26.14,0.7106,2.43,0.24,49.490285794222,943.7125
2013,8,13,26.44,0.69,2.56,0.27,48.9233096120568,927.775
2013,8,14,26.4,0.685,2.72,0.24,34.8248477020726,647.7
2013,8,15,26.06,0.6981,2.76,0.21,27.491579022548,487.6025
2013,8,16,25.4,0.7456,2.46,0.14,16.6533687151869,256.1475
2013,8,17,23.55,0.8319,2.02,0.08,2.89798511232433,38.165
2013,8,18,22.59,0.88,2.44,0.04,0,0
2013,8,19,22.2,0.9206,2.74,0.05,0,0
2013,8,20,21.92,0.9512,2.78,0.05,0,0
2013,8,21,21.75,0.9681,2.73,0.09,0,0
2013,8,22,21.65,0.9738,2.65,0.08,0,0
2013,8,23,21.55,0.975,2.55,0.05,0,0
2013,9,0,21.49,0.9744,2.5,0.1,0,0
2013,9,1,21.47,0.9706,2.47,0.11,0,0
2013,9,2,21.48,0.9662,2.52,0.1,0,0
2013,9,3,21.55,0.9612,2.68,0.07,0,0
2013,9,4,21.61,0.9588,2.86,0.04,0,0
2013,9,5,21.64,0.9569,3.05,0.06,0,0
2013,9,6,21.64,0.9556,3.19,0.07,0,0
2013,9,7,22.04,0.9469,3.38,0.01,3.89796441359835,51.425
2013,9,8,23.39,0.9194,3.73,0.01,20.5251917610417,359.55
2013,9,9,24.65,0.84,4.25,0,34.099740339045,639.625
2013,9,10,25.93,0.7281,4.73,0.01,41.0569122399004,791.9025
2013,9,11,26.68,0.68,4.42,0.02,52.2649244932495,1020.6375
2013,9,12,27.12,0.6588,4.12,0.02,54.8417864946539,1074.825
2013,9,13,27.25,0.6506,3.98,0.02,53.6686669999389,1048.05
2013,9,14,27.07,0.6544,3.96,0.02,47.9360878966904,924.5875
2013,9,15,26.6,0.6738,3.94,0.02,34.8882260292768,654.415
2013,9,16,25.79,0.715,3.69,0.02,19.3897556210692,339.66
2013,9,17,24.04,0.8081,3,0.03,3.3986383936746,44.8375
2013,9,18,23.01,0.8769,3.23,0.01,0,0
2013,9,19,22.65,0.9125,3.48,0.01,0,0
2013,9,20,22.44,0.9294,3.65,0,0,0
2013,9,21,22.28,0.9369,3.7,0,0,0
2013,9,22,22.1,0.9394,3.69,0,0,0
2013,9,23,21.85,0.9425,3.6,0,0,0
2013,10,0,21.57,0.9438,3.47,0.01,0,0
2013,10,1,21.31,0.9431,3.31,0,0,0
2013,10,2,21.06,0.9431,3.12,0,0,0
2013,10,3,20.8,0.945,2.94,0,0,0
2013,10,4,20.56,0.9488,2.83,0,0,0
2013,10,5,20.38,0.9519,2.78,0,0,0
