"year","doy","hour","temp","rh","windspeed","precip","solardiff","solar"
2010,1,0,16.55,0.9906,1.05,0.02,0,0
2010,1,1,16.37,1,1.1,0.03,0,0
2010,1,2,16.39,1,1.11,0.13,0,0
2010,1,3,16.48,1,1.1,0.34,0,0
2010,1,4,16.58,1,1.09,0.47,0,0
2010,1,5,16.72,1,1.14,0.98,0,0
2010,1,6,16.86,0.9994,1.35,1.03,0,0
2010,1,7,17.28,0.9862,2.05,0.03,7.53069136695478,15.385
2010,1,8,18.26,0.9631,2.93,0.02,3.37473963132465,51.34
2010,1,9,19.09,0.9438,3.21,0.03,13.2310431094673,233.75
2010,1,10,19.95,0.9119,3.83,0.15,9.83134075378801,182.41
2010,1,11,20.46,0.8919,4.51,0.38,10.1147994011387,191.4625
2010,1,12,20.73,0.8888,4.56,1.12,8.97039216377323,175.6525
2010,1,13,20.14,0.89,4.68,3.14,11.5954580238506,226.2275
2010,1,14,17.59,0.8625,5.98,4.35,12.4036273197982,238.9775
2010,1,15,15.8,0.8081,5.78,3.34,10.1933034791401,190.91
2010,1,16,14.92,0.8212,4.38,0.84,4.53015869206948,79.135
2010,1,17,13.11,0.9019,2.54,0.07,1.59724754107191,20.825
2010,1,18,11.59,0.9394,2.25,0,0,0
2010,1,19,10.83,0.9475,2.45,0,0,0
2010,1,20,10.22,0.95,2.66,0,0,0
2010,1,21,9.4,0.9625,2.38,0,0,0
2010,1,22,8.61,0.9794,2.23,0,0,0
2010,1,23,8.23,0.975,2.75,0,0,0
2010,2,0,7.76,0.9662,3.05,0,0,0
2010,2,1,6.94,0.9631,2.77,0,0,0
2010,2,2,6.09,0.9519,2.7,0,0,0
2010,2,3,5.42,0.9275,2.99,0,0,0
2010,2,4,4.64,0.91,3,0,0,0
2010,2,5,3.68,0.9119,2.68,0,0,0
2010,2,6,2.77,0.9231,2.4,0,0,0
2010,2,7,2.54,0.9069,2.65,0,3.14844592249448,41.0975
2010,2,8,4.34,0.7794,3.72,0,21.5986782661287,377.4
2010,2,9,6.84,0.6169,4.21,0,40.027473573139,749.785
2010,2,10,9.57,0.4875,4.4,0,54.2851075967646,1046.01
2010,2,11,11.97,0.4125,4.66,0,63.3259431095671,1235.6025
2010,2,12,13.61,0.3669,4.7,0,66.1273107295235,1294.975
2010,2,13,14.37,0.3575,4.45,0,63.1299077888275,1231.7775
2010,2,14,14.58,0.365,4.12,0,54.1660032651286,1043.715
2010,2,15,14.23,0.3819,3.71,0,39.9934404644441,749.1475
2010,2,16,13.04,0.4412,2.79,0,26.0156962398685,378.8875
2010,2,17,9.35,0.6319,1.33,0,41.783663002827,42.075
2010,2,18,7.48,0.68,1.39,0,0,0
2010,2,19,6.8,0.7038,1.52,0,0,0
2010,2,20,6.26,0.7256,1.66,0,0,0
2010,2,21,5.71,0.745,1.71,0,0,0
2010,2,22,5.13,0.7619,1.84,0,0,0
2010,2,23,4.61,0.7656,2.17,0,0,0
2010,3,0,4.31,0.7469,2.66,0,0,0
2010,3,1,3.69,0.74,2.81,0,0,0
2010,3,2,3.15,0.7344,2.77,0,0,0
2010,3,3,2.15,0.7562,2.18,0,0,0
2010,3,4,1.64,0.755,2.15,0,0,0
2010,3,5,1.65,0.7369,2.42,0,0,0
2010,3,6,1.82,0.7156,2.57,0,0,0
2010,3,7,1.9,0.705,2.5,0,16.49,16.49
2010,3,8,2.65,0.645,2.7,0,12.4106350409031,173.5275
2010,3,9,3.73,0.5544,2.93,0,19.3706593163341,332.2225
2010,3,10,4.94,0.4962,2.99,0,22.5200805078537,410.3375
2010,3,11,6.15,0.45,3.21,0,28.6501293486187,534.65
2010,3,12,7.03,0.4206,3.19,0,28.3132339357017,531.8875
2010,3,13,7.39,0.4056,3.07,0,19.9958772401329,373.15
2010,3,14,7.3,0.4131,3.16,0,16.0404550649932,292.2725
2010,3,15,7.05,0.4294,3.13,0.01,11.7904051461069,202.215
2010,3,16,6.16,0.4969,2.37,0.02,7.27981163922676,101.7875
2010,3,17,5.11,0.6044,1.59,0.01,17.85,17.85
2010,3,18,4.58,0.6438,1.47,0,0,0
2010,3,19,4.26,0.6681,1.27,0,0,0
2010,3,20,3.94,0.69,1.11,0,0,0
2010,3,21,3.65,0.7006,1.09,0,0,0
2010,3,22,3.34,0.7062,1.13,0,0,0
2010,3,23,3,0.7069,1.28,0,0,0
2010,4,0,2.55,0.71,1.39,0,0,0
2010,4,1,2.18,0.7088,1.48,0,0,0
2010,4,2,1.8,0.71,1.47,0,0,0
2010,4,3,1.03,0.7275,1.33,0,0,0
2010,4,4,0.08,0.7381,1.31,0,0,0
2010,4,5,-0.85,0.7488,1.35,0,0,0
2010,4,6,-1.3,0.7444,1.53,0,0,0
2010,4,7,-1.11,0.7144,1.89,0,38.8875,38.8875
2010,4,8,0.99,0.5938,2.7,0,27.4127136012565,369.75
2010,4,9,4.26,0.4581,2.98,0,43.8226579520134,743.0275
2010,4,10,6.94,0.4288,3.11,0,57.6077218894084,1042.525
2010,4,11,9.11,0.465,3.37,0,66.4895010901446,1234.2
2010,4,12,10.78,0.485,3.54,0,69.2289876209172,1294.125
2010,4,13,11.94,0.4925,3.77,0,66.6497719261057,1237.175
2010,4,14,12.41,0.5019,3.8,0,58.2018822497027,1053.2775
2010,4,15,12.17,0.5238,3.92,0,44.8979837119753,761.26
2010,4,16,11.15,0.5656,3.67,0,28.9566480454652,390.575
2010,4,17,8.11,0.6894,2.06,0,20.178543492619,46.1125
2010,4,18,5.98,0.7738,1.76,0,0,0
2010,4,19,5.12,0.8081,1.76,0,0,0
2010,4,20,4.25,0.8406,1.56,0,0,0
2010,4,21,3.57,0.8619,1.41,0,0,0
2010,4,22,3.11,0.8775,1.35,0,0,0
2010,4,23,2.9,0.8856,1.38,0,0,0
2010,5,0,2.84,0.8931,1.42,0,0,0
2010,5,1,3.12,0.885,1.49,0,0,0
2010,5,2,3.98,0.8375,1.86,0.01,0,0
2010,5,3,4.51,0.7956,2.7,0.01,0,0
2010,5,4,4.19,0.7894,2.98,0.01,0,0
2010,5,5,3.71,0.7912,3.04,0.01,0,0
2010,5,6,3.39,0.7919,3.21,0.01,0,0
2010,5,7,2.87,0.7994,3.03,0,2.91847063052632,38.25
2010,5,8,3.98,0.72,3.81,0,21.1600484225801,370.09
2010,5,9,5.81,0.6325,4.37,0,39.4533550851961,739.415
2010,5,10,7.52,0.5881,4.68,0,51.8636970145998,999.7275
2010,5,11,8.68,0.5556,4.76,0,62.2715293517784,1215.415
2010,5,12,9.55,0.5244,4.73,0,65.8687180642508,1290.3
2010,5,13,10.04,0.4975,4.68,0,62.5589565101263,1221.025
2010,5,14,10.02,0.4794,4.62,0,54.348515555409,1047.625
2010,5,15,9.44,0.4762,4.42,0,40.8185073878336,765
2010,5,16,8.23,0.4969,4.02,0,22.5062435105578,393.635
2010,5,17,5.41,0.6119,2.31,0,3.64808828815791,47.8125
2010,5,18,3.32,0.6994,1.84,0,0,0
2010,5,19,2.36,0.7381,1.61,0,0,0
2010,5,20,1.58,0.7775,1.45,0,0,0
2010,5,21,0.94,0.8131,1.29,0,0,0
2010,5,22,0.43,0.8412,1.19,0,0,0
2010,5,23,0.03,0.8612,1.13,0,0,0
2010,6,0,-0.31,0.8762,1.12,0,0,0
2010,6,1,-0.65,0.8819,1.13,0,0,0
2010,6,2,-1.05,0.8812,1.16,0,0,0
2010,6,3,-1.49,0.8762,1.25,0,0,0
2010,6,4,-1.91,0.8556,1.43,0,0,0
2010,6,5,-2.37,0.8269,1.62,0,0,0
2010,6,6,-2.84,0.7975,1.73,0,0,0
2010,6,7,-2.71,0.7475,2.05,0,15.472585048875,39.2275
2010,6,8,-0.56,0.6225,2.67,0,24.5342573364995,376.21
2010,6,9,2.81,0.5,3.31,0,43.6674233186272,750.7625
2010,6,10,5.73,0.4662,3.8,0,57.5192913327835,1049.5375
2010,6,11,7.99,0.4525,4.11,0,66.5316465765958,1242.9125
2010,6,12,9.54,0.4338,4.13,0,69.6379473355419,1309.51
2010,6,13,10.53,0.4212,4.06,0,66.9638918441477,1250.9875
2010,6,14,10.89,0.4175,3.92,0,58.6419598252882,1070.0225
2010,6,15,10.6,0.4262,3.7,0,45.1802714970025,776.7725
2010,6,16,9.52,0.4588,3.17,0,28.6342100897246,403.5375
2010,6,17,5.82,0.6306,1.49,0,50.915,50.915
2010,6,18,3.62,0.6988,1.39,0,0,0
2010,6,19,2.78,0.7312,1.39,0,0,0
2010,6,20,1.99,0.7688,1.32,0,0,0
2010,6,21,1.29,0.795,1.22,0,0,0
2010,6,22,0.73,0.8112,1.15,0,0,0
2010,6,23,0.25,0.8231,1.11,0,0,0
2010,7,0,-0.28,0.8356,1.1,0,0,0
2010,7,1,-0.74,0.8412,1.07,0,0,0
2010,7,2,-1.19,0.8425,1.05,0,0,0
2010,7,3,-1.65,0.8438,1.04,0,0,0
2010,7,4,-1.99,0.825,1.02,0,0,0
2010,7,5,-2.3,0.7938,1.03,0,0,0
2010,7,6,-2.58,0.7675,1.06,0,0,0
2010,7,7,-2.18,0.7344,1.13,0,37.8249999999726,37.825
2010,7,8,1.08,0.5725,2.26,0,26.0914594288089,368.7725
2010,7,9,3.95,0.5075,1.74,0,43.2573274244372,744.3875
2010,7,10,8.03,0.3675,1.73,0,57.6479635055388,1044.99
2010,7,11,10.64,0.3381,1.31,0,66.6685972762971,1239.0875
2010,7,12,12.62,0.325,1.06,0,69.5347412402133,1301.35
2010,7,13,13.8,0.325,1.15,0,66.9818745126837,1244.91
2010,7,14,14.32,0.3325,1.3,0,58.5201386488632,1060.8
2010,7,15,14.29,0.3469,1.24,0,45.1612413330472,767.975
2010,7,16,13.19,0.4494,0.9,0,29.227106628796,398.225
2010,7,17,10.03,0.5025,0.97,0,51.34,51.34
2010,7,18,8.23,0.5319,1.13,0,0,0
2010,7,19,7.28,0.5675,1.12,0,0,0
2010,7,20,6.65,0.595,1.06,0,0,0
2010,7,21,5.98,0.6369,1.03,0,0,0
2010,7,22,5.38,0.6738,0.92,0,0,0
2010,7,23,4.82,0.7038,0.76,0,0,0
2010,8,0,4.46,0.7175,0.67,0,0,0
2010,8,1,4.08,0.7275,0.73,0.01,0,0
2010,8,2,3.51,0.7469,0.84,0.01,0,0
2010,8,3,3.41,0.7475,0.88,0.01,0,0
2010,8,4,3.11,0.7606,0.97,0,0,0
2010,8,5,2.76,0.7744,1.1,0,0,0
2010,8,6,2.79,0.7844,1.23,0,0,0
2010,8,7,3.79,0.7619,1.53,0,7.34189460017339,20.1875
2010,8,8,7.32,0.645,2.99,0,18.9274225483707,291.125
2010,8,9,10.02,0.5994,3.13,0,37.8647199262882,671.585
2010,8,10,13.33,0.5812,3.28,0.01,49.1825716833535,948.4725
2010,8,11,16.91,0.5956,3.83,0.02,58.823964404961,1148.5625
2010,8,12,18.26,0.6369,3.68,0.03,26.8433011588241,526.0225
2010,8,13,18.37,0.6812,3.5,0.04,26.5594824669504,518.585
2010,8,14,17.77,0.7362,3.16,0.05,21.9323812964437,422.96
2010,8,15,16.51,0.8044,2.92,0.06,13.2804185657656,249.05
2010,8,16,14.68,0.8806,2.7,0.05,6.57763008914,115.175
2010,8,17,12.68,0.9262,2.94,0.04,1.66198478045327,21.8875
2010,8,18,10.85,0.9244,3.64,0.03,0,0
2010,8,19,9.33,0.89,3.82,0.02,0,0
2010,8,20,8.3,0.8494,3.79,0.01,0,0
2010,8,21,7.81,0.8206,3.57,0.01,0,0
2010,8,22,7.4,0.7931,3.38,0,0,0
2010,8,23,6.83,0.7606,3.27,0.01,0,0
2010,9,0,6.15,0.735,3.32,0.02,0,0
2010,9,1,5.39,0.7044,3.91,0.03,0,0
2010,9,2,4.52,0.6712,4.54,0.03,0,0
2010,9,3,3.69,0.6606,4.6,0.03,0,0
2010,9,4,3.13,0.6662,4.29,0.05,0,0
2010,9,5,2.73,0.6775,4.09,0.1,0,0
2010,9,6,2.24,0.6956,4.07,0.21,0,0
2010,9,7,1.61,0.7288,3.92,0.79,0.950330166951664,12.5375
2010,9,8,1.45,0.7625,3.79,1.04,2.48679923818768,43.5625
2010,9,9,1.73,0.7962,3.6,1.13,4.54965306317624,85.34
2010,9,10,2.01,0.8262,3.47,0.87,10.6911467926795,206.21
2010,9,11,2.48,0.83,3.61,0.62,14.9667243697721,292.2725
2010,9,12,2.98,0.8188,3.75,0.42,16.0210011317716,313.99
2010,9,13,3.32,0.8044,3.7,0.26,13.0319536900095,254.49
2010,9,14,3.55,0.7906,3.4,0.14,7.22504244187096,133.1525
2010,9,15,3.67,0.7794,3.06,0.06,6.67492194093715,116.6625
2010,9,16,3.41,0.7794,2.85,0.02,6.30594066952268,96.2625
2010,9,17,2.58,0.8138,2.25,0,7.42865568092863,16.915
2010,9,18,1.33,0.855,1.66,0,0,0
2010,9,19,-0.25,0.8656,1.65,0,0,0
2010,9,20,-1.41,0.8619,1.78,0,0,0
2010,9,21,-2.31,0.8375,1.81,0,0,0
2010,9,22,-2.99,0.8156,1.8,0,0,0
2010,9,23,-3.01,0.7831,2.04,0,0,0
2010,10,0,-2.83,0.7538,2.44,0,0,0
2010,10,1,-2.94,0.7538,2.62,0,0,0
2010,10,2,-2.95,0.7531,2.87,0,0,0
2010,10,3,-2.9,0.7538,2.96,0,0,0
2010,10,4,-2.7,0.7488,3.01,0,0,0
2010,10,5,-2.56,0.745,2.93,0,0,0
2010,10,6,-2.46,0.74,2.91,0,0,0
2010,10,7,-2.2,0.7244,3.01,0,28.2624493505736,28.2625
2010,10,8,-0.9,0.6675,3.31,0,21.7803569441067,310.76
2010,10,9,1.44,0.5475,4.56,0,38.6887707113647,667.76
2010,10,10,3.12,0.5138,5.01,0,50.3664168841465,921.1025
2010,10,11,4.58,0.5025,5.03,0,63.1301524943737,1181.415
2010,10,12,6.08,0.4725,5.1,0,68.1073156574046,1282.7775
2010,10,13,7.12,0.4506,5.11,0,66.5026352792555,1244.5275
2010,10,14,7.34,0.4494,5.01,0,57.6217093453796,1053.7875
2010,10,15,6.84,0.4656,4.76,0,44.7289663933261,772.0125
