"","year","doy","hour","temp","rh","windspeed","precip","solardiff","solar"
"1",2011,274,0,22.7,0.8819,1.74,0,0,0
"2",2011,274,1,22.25,0.8675,1.86,0,0,0
"3",2011,274,2,21.69,0.8525,1.87,0,0,0
"4",2011,274,3,21.12,0.8375,1.8,0,0,0
"5",2011,274,4,20.62,0.8312,1.56,0,0,0
"6",2011,274,5,20.15,0.8394,1.34,0,0,0
"7",2011,274,6,19.91,0.8531,1.3,0,31.1525,0
"8",2011,274,7,21.87,0.7869,2.45,0,23.4664212317968,310.583578768203
"9",2011,274,8,23.94,0.7325,2.5,0,43.3071903420837,724.880309657916
"10",2011,274,9,26.49,0.6494,2.44,0,57.7627631928167,1030.87473680718
"11",2011,274,10,28.74,0.5788,2.04,0,63.7146218181272,1168.36037818187
"12",2011,274,11,29.93,0.5475,2.02,0,74.1245430236392,1375.97545697636
"13",2011,274,12,30.65,0.5231,2.32,0,77.3761042703895,1441.48889572961
"14",2011,274,13,30.98,0.5075,2.63,0,74.9001134181128,1390.37238658189
"15",2011,274,14,30.97,0.5031,2.9,0,64.8025396449632,1188.30996035504
"16",2011,274,15,30.55,0.5075,3.06,0,46.7920100039409,835.082989996059
"17",2011,274,16,29.47,0.5481,2.94,0,27.4386690897672,459.271330910233
"18",2011,274,17,27.48,0.6419,2.35,0,9.90306860380024,131.0694313962
"19",2011,274,18,24.98,0.6862,2.21,0,0,0
"20",2011,274,19,23.87,0.6838,2.91,0,0,0
"21",2011,274,20,22.68,0.6888,3.12,0,0,0
"22",2011,274,21,21.62,0.6956,3.07,0,0,0
"23",2011,274,22,20.75,0.7106,2.9,0,0,0
"24",2011,274,23,20.26,0.735,2.82,0,0,0
"25",2011,275,0,19.86,0.7831,2.64,0,0,0
"26",2011,275,1,19.55,0.8338,2.55,0,0,0
"27",2011,275,2,19.32,0.8606,2.59,0,0,0
"28",2011,275,3,18.99,0.87,2.69,0,0,0
"29",2011,275,4,18.49,0.87,2.73,0,0,0
"30",2011,275,5,17.95,0.86,2.71,0,0,0
"31",2011,275,6,17.44,0.8438,2.77,0,34,0
"32",2011,275,7,18.09,0.7838,3.05,0,26.9827908716214,354.369709128379
