"year","doy","hour","temp","rh","windspeed","precip","solardiff","solar"
2011,274,0,22.7,0.8819,1.74,0,0,0
2011,274,1,22.25,0.8675,1.86,0,0,0
2011,274,2,21.69,0.8525,1.87,0,0,0
2011,274,3,21.12,0.8375,1.8,0,0,0
2011,274,4,20.62,0.8312,1.56,0,0,0
2011,274,5,20.15,0.8394,1.34,0,0,0
2011,274,6,19.91,0.8531,1.3,0,31.1525,31.1525
2011,274,7,21.87,0.7869,2.45,0,23.4607742243534,334.05
2011,274,8,23.94,0.7325,2.5,0,43.3035330500553,768.1875
2011,274,9,26.49,0.6494,2.44,0,57.7597293830039,1088.6375
2011,274,10,28.74,0.5788,2.04,0,63.7120435875781,1232.075
2011,274,11,29.93,0.5475,2.02,0,74.1219253685411,1450.1
2011,274,12,30.65,0.5231,2.32,0,77.3734859384182,1518.865
2011,274,13,30.98,0.5075,2.63,0,74.8974683743022,1465.2725
2011,274,14,30.97,0.5031,2.9,0,64.7999173915054,1253.1125
2011,274,15,30.55,0.5075,3.06,0,46.7895523988808,881.875
2011,274,16,29.47,0.5481,2.94,0,27.4363518942868,486.71
2011,274,17,27.48,0.6419,2.35,0,9.90068550918325,140.9725
2011,274,18,24.98,0.6862,2.21,0,0,0
2011,274,19,23.87,0.6838,2.91,0,0,0
2011,274,20,22.68,0.6888,3.12,0,0,0
2011,274,21,21.62,0.6956,3.07,0,0,0
2011,274,22,20.75,0.7106,2.9,0,0,0
2011,274,23,20.26,0.735,2.82,0,0,0
2011,275,0,19.86,0.7831,2.64,0,0,0
2011,275,1,19.55,0.8338,2.55,0,0,0
2011,275,2,19.32,0.8606,2.59,0,0,0
2011,275,3,18.99,0.87,2.69,0,0,0
2011,275,4,18.49,0.87,2.73,0,0,0
2011,275,5,17.95,0.86,2.71,0,0,0
2011,275,6,17.44,0.8438,2.77,0,34,34
2011,275,7,18.09,0.7838,3.05,0,26.9758432210968,381.3525
2011,275,8,20.23,0.6956,2.85,0,46.2051099071168,818.3375
2011,275,9,23.64,0.5644,2.88,0,64.0557914847272,1206.3625
2011,275,10,25.92,0.5312,2.49,0,76.5379397507058,1479.34
2011,275,11,27.36,0.5275,2.05,0,84.2867926314036,1648.2775
2011,275,12,28.32,0.5225,1.74,0,81.0356576112478,1590.1375
2011,275,13,28.96,0.5175,1.59,0.01,73.3116668600969,1433.6525
2011,275,14,29.22,0.5138,1.6,0.01,62.3376979985207,1204.875
2011,275,15,29.12,0.5131,1.69,0.01,48.0401511054033,904.74
2011,275,16,28.52,0.5281,1.75,0,28.7957059924904,510
2011,275,17,27.15,0.6075,1.33,0,9.96600025386558,140.8875
2011,275,18,24.26,0.6725,1.08,0,0,0
2011,275,19,22.96,0.6644,1.32,0,0,0
2011,275,20,21.89,0.6756,1.42,0,0,0
2011,275,21,20.98,0.6912,1.39,0,0,0
2011,275,22,20.26,0.715,1.31,0,0,0
