"lat","lon","harvest_year","harvest_month","harvest_day","plantyear","iscaveinrock","MEAN","SE"
40.06,-88.2,2010,11,9,2002,1,12.225,1.45509163514422
40.06,-88.2,2009,10,24,2002,1,12.225,1.86206650436193
40.06,-88.2,2008,11,29,2002,1,20.75,2.25
43.64,-80.41,2011,10,31,2010,0,NA,NA
44.37,-96.79,2011,10,31,2009,0,7.975,0.689655711206686
44.37,-96.79,2010,11,9,2009,0,NA,NA
42.39,-85.37,2011,10,31,2009,1,8.125,1.08046782195756
42.39,-85.37,2010,11,9,2009,1,NA,NA
42.39,-85.37,2009,10,24,2009,1,NA,NA
40.46,-74.43,2011,10,31,2009,0,12.5,0.645497224367903
40.46,-74.43,2010,11,9,2009,0,NA,NA
40.06,-88.2,2010,11,9,2009,1,NA,NA
40.06,-88.2,2011,10,31,2009,1,9.25,1.38714334755521
40.06,-88.2,2009,10,24,2009,1,NA,NA
38.13,-84.5,2011,10,31,2009,0,17.525,3.45576209636408
38.13,-84.5,2010,11,9,2009,0,NA,NA
35.99,-97.05,2010,11,9,2009,0,NA,NA
35.99,-97.05,2011,10,31,2009,0,8.325,1.02418666918357
33.42,-88.8,2011,10,31,2009,0,12.6,1.87794213613377
33.42,-88.8,2010,11,9,2009,0,NA,NA
30.41,-91.1,2010,11,9,2009,0,NA,NA
30.41,-91.1,2011,10,31,2009,0,11.25,1.58823801742686
32.88,-82.21,2010,11,8,2009,0,NA,NA
41.85,-88.85,2010,11,9,2002,1,5.45,0.819044158353708
41.85,-88.85,2009,10,24,2002,1,9.8,1.73541541616602
41.85,-88.85,2008,11,29,2002,1,15.5,1.93649167310371
41.85,-88.85,2007,8,14,2002,1,16.525,3.49889863623779
38.95,-88.96,2009,10,24,2004,1,8.55,0.221735578260834
38.95,-88.96,2008,11,29,2004,1,15.75,1.79698822107065
38.95,-88.96,2010,11,9,2004,1,7.725,0.702821693840858
37.45,-88.67,2010,11,9,2002,1,9.5,1.79768369483251
37.45,-88.67,2009,10,24,2002,1,15,1.35400640077266
37.45,-88.67,2008,11,29,2002,1,9.675,1.60850603563265
37.45,-88.67,2007,8,14,2002,1,16.75,2.83945417290014
38.38,-88.39,2010,11,9,2004,1,9.2,1.33666251038423
38.38,-88.39,2009,10,24,2004,1,9.7,1.05908765768782
38.38,-88.39,2008,11,29,2004,1,18.75,1.37689263682153
39.81,-90.82,2010,11,9,2004,1,6.4,0.664580067912563
39.81,-90.82,2009,10,24,2004,1,9.7,0.463680924774785
39.81,-90.82,2008,11,29,2004,1,14.5,0.866025403784439
40.3,-89.94,2010,11,9,2004,1,7.3,0.733712023435171
40.3,-89.94,2009,10,24,2004,1,6.575,0.632949445058608
40.3,-89.94,2008,11,29,2004,1,16.25,0.25
37.45,-88.67,2006,1,31,2001,1,9.35,0.25
37.45,-88.67,2005,1,31,2001,1,7.8,0
40.06,-88.2,2004,1,31,2001,1,19.4,6.6
40.06,-88.2,2005,1,31,2001,1,11.05,0.45
40.06,-88.2,2006,1,31,2001,1,18.8,3.2
41.85,-88.85,2005,1,31,2001,1,7.8,0
41.85,-88.85,2006,1,31,2001,1,8.05,0.35
